Ref	Count	SecCount	SupCount
CM044164.1_RagTag	395879		
CM044165.1_RagTag	400709		
CM044166.1_RagTag	803468		
CM044167.1_RagTag	419845		
CM044168.1_RagTag	1152612		
CM044169.1_RagTag	430537		
CM044170.1_RagTag	379515		
CM044171.1_RagTag	523589		
CM044172.1_RagTag	285124		
CM044173.1_RagTag	328551		
CM044174.1_RagTag	185173		
CM044175.1_RagTag	474855		
CM044176.1_RagTag	605373		
JANAFA010000017.1_RagTag	10		
JANAFA010000019.1_RagTag	4		
JANAFA010000035.1_RagTag	68		
JANAFA010000038.1_RagTag	95		
JANAFA010000040.1_RagTag	494		
JANAFA010000049.1_RagTag	1691		
JANAFA010000051.1_RagTag	780		
JANAFA010000054.1_RagTag	250		
JANAFA010000058.1_RagTag	10040		
JANAFA010000062.1_RagTag	4		
JANAFA010000070.1_RagTag	2		
JANAFA010000080.1_RagTag	58		
JANAFA010000083.1_RagTag	14		
JANAFA010000087.1_RagTag	27		
JANAFA010000089.1_RagTag	138		
JANAFA010000093.1_RagTag	1		
JANAFA010000094.1_RagTag	14		
JANAFA010000099.1_RagTag	28		
JANAFA010000102.1_RagTag	22		
JANAFA010000114.1_RagTag	348		
JANAFA010000123.1_RagTag	30		
JANAFA010000129.1_RagTag	21		
JANAFA010000133.1_RagTag	268		
JANAFA010000136.1_RagTag	4		
JANAFA010000170.1_RagTag	5		
JANAFA010000177.1_RagTag	99		
JANAFA010000184.1_RagTag	1038		
JANAFA010000191.1_RagTag	2		
JANAFA010000201.1_RagTag	16		
JANAFA010000210.1_RagTag	15		
JANAFA010000211.1_RagTag	59		
JANAFA010000216.1_RagTag	139		
JANAFA010000222.1_RagTag	66		
JANAFA010000224.1_RagTag	8		
JANAFA010000249.1_RagTag	7		
JANAFA010000279.1_RagTag	120892		
JANAFA010000303.1_RagTag	15		
JANAFA010000327.1_RagTag	4		
JANAFA010000339.1_RagTag	2		
JANAFA010000346.1_RagTag	142267		
JANAFA010000348.1_RagTag	2		
JANAFA010000357.1_RagTag	166		
JANAFA010000449.1_RagTag	32		
JANAFA010000474.1_RagTag	2		
ptg000005l	17381		
ptg000007l	16155		
ptg000011l	2563		
ptg000014l	2768		
ptg000015l	13		
ptg000026l	1078		
ptg000027l	15		
ptg000028l	143		
ptg000048l	36970		
ptg000054l	405		
ptg000062l	26717		
ptg000064l	383		
ptg000072l	10120		
ptg000083l	20804		
ptg000086l	8		
ptg000092l	271		
ptg000093l	7437		
ptg000098l	118		
ptg000103l	5659		
ptg000104l	4038		
ptg000108l	3398		
ptg000141l	15890		
ptg000151l	3308		
ptg000155l	59		
ptg000159l	18		
ptg000162l	2604		
ptg000164l	787		
ptg000165l	3629		
ptg000166l	1100		
ptg000170l	2		
ptg000173l	8420		
ptg000175l	23343		
ptg000176l	684		
ptg000182l	125		
ptg000184l	6790		
ptg000197l	3752		
ptg000198l	43		
ptg000199l	831		
ptg000200l	199		
ptg000202l	1040		
ptg000206l	2		
ptg000210l	608		
ptg000212l	8759		
ptg000215l	33726		
ptg000217l	51		
ptg000220l	4570		
ptg000233l	25		
ptg000241l	1723		
ptg000248l	146		
ptg000250l	1421		
ptg000253l	357		
ptg000255l	46		
ptg000256l	96		
ptg000260l	175		
ptg000262l	634		
ptg000266l	11853		
ptg000270l	18		
ptg000286l	1094		
ptg000289l	15		
ptg000290l	9064		
ptg000291l	1793		
ptg000292l	30160		
ptg000301l	17493		
ptg000305l	2468		
ptg000317l	8470		
ptg000319l	2907		
ptg000323l	8196		
ptg000324l	654		
ptg000325l	1308		
ptg000327l	3		
ptg000340l	1332		
ptg000350l	1718		
ptg000351l	12		
ptg000357l	14		
ptg000361l	3		
ptg000365l	26		
ptg000367l	42		
ptg000372l	3920		
ptg000374l	354		
ptg000378l	1178		
ptg000386l	1588		
ptg000390l	2		
ptg000393l	4		
ptg000394l	3612		
ptg000398l	769		
ptg000401l	16		
ptg000403l	3051		
ptg000406l	1445		
ptg000411l	3854		
ptg000421l	937		
ptg000423l	1		
ptg000424l	640		
ptg000429l	6		
ptg000435l	7		
ptg000436l	104		
ptg000437l	242		
ptg000438l	3744		
ptg000439l	7878		
ptg000444l	3410		
ptg000448c	680		
ptg000449l	875		
ptg000450l	176		
ptg000452l	5826		
ptg000454l	3016		
ptg000456l	358		
ptg000463l	3		
ptg000469l	13		
ptg000470l	7467		
ptg000471l	5169		
ptg000472l	36		
ptg000477l	548		
ptg000478l	11867		
ptg000480l	25		
ptg000482l	4		
ptg000484l	3333		
ptg000485l	44		
ptg000486l	86056		
ptg000487l	3		
ptg000488l	334		
ptg000491l	21		
ptg000493l	1583		
ptg000494l	411		
ptg000497l	7464		
ptg000498l	5719		
ptg000499l	4185		
ptg000502l	25		
ptg000506l	587		
ptg000510l	2		
ptg000513l	61		
ptg000518l	2		
ptg000521l	29		
ptg000523l	8		
ptg000530l	7757		
ptg000532l	7876		
ptg000533l	6		
ptg000534l	27		
ptg000537l	2202		
ptg000538l	2		
ptg000541l	907		
ptg000546l	144		
ptg000551l	103		
ptg000554l	14		
ptg000556l	75		
ptg000559l	42		
ptg000564l	1716		
ptg000567l	456		
ptg000573l	51		
ptg000575l	3577		
ptg000582l	1323		
ptg000593l	42		
ptg000598l	731		
ptg000599l	4564		
ptg000604l	683		
ptg000612l	164		
ptg000614l	773		
ptg000622l	305		
ptg000625l	2490		
ptg000630l	266		
ptg000635l	736		
ptg000639l	28		
ptg000640l	61		
ptg000649l	115		
ptg000651l	2800		
ptg000654l	3		
ptg000657l	479		
ptg000658l	766		
ptg000662l	16		
ptg000663l	14		
ptg000665l	3749		
ptg000666l	4768		
ptg000668l	4		
ptg000669l	25		
ptg000675l	2255		
ptg000676l	24		
ptg000681l	492		
ptg000683l	1616		
ptg000684l	27		
ptg000686l	335		
ptg000693l	678		
ptg000696l	4847		
ptg000699l	126		
ptg000703l	38157		
ptg000705l	717		
ptg000706l	27		
ptg000712l	46		
ptg000713l	598		
ptg000714l	2		
ptg000726l	502		
ptg000731l	71		
ptg000734l	156		
ptg000739l	18		
ptg000744l	283		
ptg000745l	54		
ptg000748l	26		
ptg000749l	73		
ptg000752l	2		
ptg000753l	1992		
ptg000759l	869		
ptg000765l	1489		
ptg000773l	436		
ptg000774l	471		
ptg000775l	8178		
ptg000777l	3275		
ptg000779l	3		
ptg000781l	56		
