Ref	Count	SecCount	SupCount
CM044164.1_RagTag	1477477		
CM044165.1_RagTag	1973046		
CM044166.1_RagTag	4824301		
CM044167.1_RagTag	1697146		
CM044168.1_RagTag	3184014		
CM044169.1_RagTag	2001901		
CM044170.1_RagTag	1656351		
CM044171.1_RagTag	1816096		
CM044172.1_RagTag	1082144		
CM044173.1_RagTag	1186276		
CM044174.1_RagTag	823337		
CM044175.1_RagTag	1209534		
CM044176.1_RagTag	2739387		
JANAFA010000015.1_RagTag	26		
JANAFA010000017.1_RagTag	26		
JANAFA010000019.1_RagTag	101		
JANAFA010000035.1_RagTag	462		
JANAFA010000038.1_RagTag	613		
JANAFA010000040.1_RagTag	122		
JANAFA010000049.1_RagTag	260		
JANAFA010000051.1_RagTag	129		
JANAFA010000054.1_RagTag	63		
JANAFA010000058.1_RagTag	59103		
JANAFA010000062.1_RagTag	24		
JANAFA010000070.1_RagTag	144		
JANAFA010000080.1_RagTag	328		
JANAFA010000083.1_RagTag	1		
JANAFA010000087.1_RagTag	20		
JANAFA010000089.1_RagTag	220		
JANAFA010000094.1_RagTag	107		
JANAFA010000099.1_RagTag	2		
JANAFA010000102.1_RagTag	20		
JANAFA010000114.1_RagTag	46		
JANAFA010000123.1_RagTag	59		
JANAFA010000124.1_RagTag	1		
JANAFA010000129.1_RagTag	145		
JANAFA010000133.1_RagTag	92		
JANAFA010000136.1_RagTag	33		
JANAFA010000170.1_RagTag	3		
JANAFA010000177.1_RagTag	76		
JANAFA010000184.1_RagTag	73		
JANAFA010000191.1_RagTag	36		
JANAFA010000201.1_RagTag	147		
JANAFA010000210.1_RagTag	18		
JANAFA010000211.1_RagTag	74		
JANAFA010000216.1_RagTag	118		
JANAFA010000222.1_RagTag	424		
JANAFA010000224.1_RagTag	10		
JANAFA010000249.1_RagTag	3		
JANAFA010000279.1_RagTag	85669		
JANAFA010000295.1_RagTag	4		
JANAFA010000303.1_RagTag	88		
JANAFA010000327.1_RagTag	17		
JANAFA010000339.1_RagTag	47		
JANAFA010000346.1_RagTag	118815		
JANAFA010000348.1_RagTag	1		
JANAFA010000357.1_RagTag	63		
JANAFA010000449.1_RagTag	188		
JANAFA010000458.1_RagTag	6		
JANAFA010000474.1_RagTag	1		
ptg000005l	40554		
ptg000007l	37446		
ptg000011l	5201		
ptg000014l	2139		
ptg000015l	11		
ptg000026l	738		
ptg000027l	11		
ptg000028l	552		
ptg000048l	260259		
ptg000054l	1117		
ptg000062l	125704		
ptg000064l	722		
ptg000067l	92		
ptg000072l	109826		
ptg000083l	146263		
ptg000086l	24		
ptg000092l	842		
ptg000093l	10067		
ptg000098l	235		
ptg000103l	38309		
ptg000104l	11015		
ptg000108l	5691		
ptg000133l	15		
ptg000141l	123324		
ptg000146l	2		
ptg000151l	6033		
ptg000155l	50		
ptg000159l	240		
ptg000162l	2888		
ptg000164l	809		
ptg000165l	10322		
ptg000166l	526		
ptg000170l	15		
ptg000173l	4717		
ptg000175l	127599		
ptg000176l	1330		
ptg000182l	183		
ptg000184l	11922		
ptg000187l	2		
ptg000197l	10013		
ptg000198l	1		
ptg000199l	6199		
ptg000200l	769		
ptg000202l	1207		
ptg000210l	674		
ptg000212l	53609		
ptg000215l	180705		
ptg000216l	2		
ptg000220l	21293		
ptg000241l	2516		
ptg000248l	2815		
ptg000250l	3736		
ptg000253l	240		
ptg000255l	143		
ptg000256l	21		
ptg000259l	2		
ptg000260l	147		
ptg000262l	1530		
ptg000266l	7547		
ptg000270l	9		
ptg000273l	3		
ptg000284l	4		
ptg000286l	165		
ptg000289l	202		
ptg000290l	39735		
ptg000291l	4152		
ptg000292l	8574		
ptg000301l	22592		
ptg000305l	1032		
ptg000317l	55946		
ptg000319l	4567		
ptg000323l	28912		
ptg000324l	3215		
ptg000325l	3368		
ptg000340l	12605		
ptg000349l	1		
ptg000350l	614		
ptg000351l	68		
ptg000355l	2		
ptg000357l	46		
ptg000358l	8		
ptg000361l	404		
ptg000365l	93		
ptg000367l	2		
ptg000372l	3656		
ptg000374l	1269		
ptg000378l	661		
ptg000380l	9		
ptg000386l	3549		
ptg000390l	15		
ptg000393l	50		
ptg000394l	12242		
ptg000398l	2134		
ptg000401l	2		
ptg000403l	11758		
ptg000406l	3580		
ptg000411l	2511		
ptg000421l	438		
ptg000423l	37		
ptg000424l	2172		
ptg000429l	426		
ptg000435l	1		
ptg000436l	78		
ptg000437l	38		
ptg000438l	10395		
ptg000439l	32653		
ptg000442l	22		
ptg000444l	14338		
ptg000448c	145		
ptg000449l	1622		
ptg000450l	46		
ptg000452l	54714		
ptg000454l	1911		
ptg000456l	425		
ptg000457l	4		
ptg000463l	44		
ptg000470l	12680		
ptg000471l	12906		
ptg000477l	449		
ptg000478l	23270		
ptg000480l	12		
ptg000482l	7		
ptg000484l	8153		
ptg000485l	2		
ptg000486l	58269		
ptg000487l	95		
ptg000488l	441		
ptg000491l	8		
ptg000493l	4341		
ptg000494l	308		
ptg000497l	24496		
ptg000498l	9540		
ptg000499l	9037		
ptg000505l	7		
ptg000506l	722		
ptg000518l	68		
ptg000521l	2		
ptg000523l	83		
ptg000530l	23293		
ptg000532l	16306		
ptg000533l	23		
ptg000534l	64		
ptg000537l	2304		
ptg000538l	9		
ptg000541l	1881		
ptg000546l	67		
ptg000551l	357		
ptg000554l	8		
ptg000556l	202		
ptg000559l	72		
ptg000564l	2485		
ptg000567l	1702		
ptg000575l	3898		
ptg000578l	2		
ptg000582l	1712		
ptg000593l	163		
ptg000598l	1079		
ptg000599l	12158		
ptg000604l	1136		
ptg000606l	74		
ptg000612l	408		
ptg000614l	814		
ptg000622l	28		
ptg000625l	2225		
ptg000626l	5		
ptg000630l	566		
ptg000635l	1998		
ptg000639l	5		
ptg000640l	325		
ptg000642l	20		
ptg000644l	16		
ptg000649l	3		
ptg000651l	4495		
ptg000654l	4		
ptg000657l	547		
ptg000658l	1273		
ptg000663l	16		
ptg000665l	6106		
ptg000666l	5840		
ptg000668l	52		
ptg000669l	146		
ptg000675l	601		
ptg000676l	132		
ptg000681l	850		
ptg000683l	12287		
ptg000684l	240		
ptg000686l	279		
ptg000689l	34		
ptg000693l	478		
ptg000696l	10283		
ptg000700l	2		
ptg000703l	34732		
ptg000705l	906		
ptg000706l	323		
ptg000713l	257		
ptg000714l	2216		
ptg000726l	244		
ptg000731l	152		
ptg000734l	72		
ptg000739l	117		
ptg000744l	6		
ptg000745l	4		
ptg000748l	8		
ptg000749l	17		
ptg000752l	2		
ptg000753l	4261		
ptg000759l	878		
ptg000762l	1		
ptg000765l	924		
ptg000766l	20		
ptg000773l	341		
ptg000774l	399		
ptg000775l	50321		
ptg000777l	11353		
ptg000779l	5		
ptg000780l	2		
ptg000781l	210		
ptg000784l	251		
ptg000787l	4880		
ptg000790l	100		
ptg000791l	34		
ptg000793l	2		
ptg000796l	2414		
ptg000800l	14		
ptg000803l	4453		
ptg000804l	611		
ptg000807l	6		
ptg000808l	78		
ptg000813l	1656		
ptg000814l	187		
ptg000818l	85		
ptg000823l	1		
ptg000832l	53		
ptg000834l	764		
ptg000843l	24		
ptg000847l	177		
ptg000858l	5		
ptg000859l	113		
ptg000861l	1		
ptg000864l	320		
ptg000870l	1148		
ptg000872l	26		
ptg000873l	757		
ptg000875l	935		
ptg000878l	2		
ptg000880l	660		
ptg000881l	11		
ptg000882l	222		
ptg000886l	2		
ptg000891l	1224		
ptg000893l	2		
ptg000898l	851		
ptg000900l	2028		
ptg000906l	7		
ptg000907l	4		
ptg000908l	2		
ptg000911l	1		
ptg000912l	5		
ptg000914l	347		
ptg000918l	3077		
ptg000919l	4		
ptg000921l	1538		
ptg000928l	950		
ptg000930l	20		
ptg000934l	82		
ptg000935l	639		
ptg000942l	193		
ptg000943l	426		
ptg000945l	34		
ptg000946l	3928		
ptg000947l	486		
ptg000953l	146		
ptg000956l	53		
ptg000958l	332		
ptg000959l	2		
ptg000960l	241		
ptg000962l	4		
ptg000965l	307		
ptg000967l	435		
ptg000969l	290		
ptg000975l	1		
ptg000978l	244		
ptg000986l	271		
ptg000987l	4547		
ptg000988l	10		
ptg000989l	113005		
ptg000991l	21		
ptg000996l	1062		
ptg001003l	28		
ptg001005l	5		
ptg001006l	231		
ptg001009l	1		
ptg001011l	480		
ptg001012l	9786		
ptg001013l	5		
ptg001016l	97		
ptg001017l	529		
ptg001018l	1261		
ptg001022l	248		
ptg001024l	1277		
ptg001028l	28		
ptg001033l	713		
ptg001038l	6		
ptg001041l	41		
ptg001042l	86948		
ptg001043l	5610		
ptg001048l	21		
ptg001052l	22		
ptg001054l	75		
ptg001055l	340		
ptg001058l	24		
ptg001060l	15		
ptg001064l	4		
ptg001065l	10		
ptg001066l	42		
ptg001068l	63		
ptg001071l	6		
ptg001073l	3		
ptg001074l	122		
ptg001076l	9		
ptg001086l	171		
ptg001087l	1		
ptg001098c	94		
ptg001100l	31		
ptg001106l	2157		
ptg001108l	9354		
ptg001113l	10		
ptg001114l	57		
ptg001119l	23		
ptg001120l	8		
ptg001121l	85		
ptg001122l	1		
ptg001123l	4		
ptg001124l	36		
ptg001128l	89		
ptg001130l	10		
ptg001136l	17		
ptg001137c	69		
ptg001144l	91		
ptg001145l	40		
ptg001146l	43		
ptg001147l	33		
ptg001150l	128		
ptg001151l	290		
ptg001152l	30		
ptg001153l	2		
ptg001154l	2		
ptg001155l	7		
ptg001156l	151		
ptg001158l	2		
ptg001159l	208		
ptg001161l	1		
ptg001163l	6		
ptg001164l	36		
ptg001166l	274		
ptg001167l	68		
ptg001168l	13		
ptg001177l	49		
ptg001179l	23		
ptg001181l	121		
ptg001184l	1441		
ptg001189l	5		
ptg001192l	44		
ptg001196l	2		
ptg001200l	438		
ptg001202l	6		
ptg001204l	47		
ptg001207l	62		
ptg001208l	11		
ptg001210l	6		
ptg001211l	105		
ptg001213l	631		
ptg001214l	902		
ptg001218l	799		
ptg001219l	23		
ptg001222l	32034		
ptg001226l	20		
ptg001227l	242		
ptg001228l	4		
ptg001231l	701		
ptg001233l	2		
ptg001238l	519		
ptg001239l	17		
ptg001241l	175		
ptg001243l	119		
ptg001244l	98		
ptg001245l	2		
ptg001249l	1		
ptg001252l	20		
ptg001253l	1		
ptg001255l	1		
ptg001260l	8795		
ptg001261l	308		
ptg001262l	23		
ptg001263l	21		
ptg001264l	268		
ptg001265l	3601		
ptg001266l	4		
ptg001267l	5		
ptg001272l	6		
ptg001273l	60		
ptg001275l	29		
ptg001278l	1		
ptg001280l	1		
ptg001284l	23		
ptg001289l	48		
ptg001290l	18		
ptg001291l	2		
ptg001297l	2		
ptg001303l	5		
ptg001304l	41		
ptg001306c	80		
ptg001307l	20		
ptg001308l	562		
ptg001310l	138		
ptg001311l	28		
ptg001312l	23		
ptg001315l	43		
ptg001316l	107		
ptg001319l	50		
ptg001322l	590		
ptg001324l	1		
ptg001327l	13073		
ptg001329l	4		
ptg001331l	26		
ptg001332l	4254		
ptg001335l	3		
ptg001336l	6		
ptg001337l	16		
ptg001340l	255		
ptg001342l	631		
ptg001343l	5		
ptg001345l	2		
ptg001346l	24		
ptg001347l	2		
ptg001348l	13		
ptg001350l	4		
ptg001351c	59		
ptg001352l	2		
ptg001354l	18		
ptg001355l	8		
ptg001357l	1		
ptg001358l	2		
ptg001360l	2		
ptg001361l	76		
ptg001362l	2		
ptg001364l	6		
ptg001366l	4		
ptg001369l	2		
ptg001372l	18		
ptg001373l	2098		
ptg001374l	66		
ptg001375l	6		
ptg001376l	43		
ptg001378l	53		
ptg001379l	22		
ptg001380l	2		
ptg001381l	147		
ptg001383l	87		
ptg001384l	4		
ptg001386l	55		
ptg001387l	10		
ptg001388l	1		
ptg001390l	426		
ptg001391l	73		
ptg001393l	12		
ptg001394l	44		
ptg001395l	77		
ptg001396l	49		
ptg001401l	2		
ptg001405l	114		
ptg001409l	178		
ptg001410l	6		
ptg001411l	13		
ptg001414l	14834		
ptg001415l	50		
ptg001420l	2		
ptg001422l	2		
ptg001424l	5		
ptg001426l	1		
ptg001427l	113		
ptg001430l	6		
ptg001436l	2		
ptg001437l	136		
ptg001438l	2		
ptg001440l	7		
ptg001441l	20		
ptg001443l	2		
ptg001446l	4		
ptg001447l	61		
ptg001448l	1		
ptg001451l	789		
ptg001453l	14		
ptg001454l	792		
ptg001455l	949		
ptg001456l	1		
ptg001457l	4		
ptg001458l	57		
ptg001460l	102		
ptg001467l	39		
ptg001469l	86965		
ptg001470l	101		
ptg001472l	18		
ptg001474l	12		
ptg001476l	25		
ptg001477l	2		
ptg001479l	12		
ptg001480l	2		
ptg001482l	2		
ptg001483l	1		
ptg001485l	44		
ptg001488l	557		
ptg001489l	20		
ptg001491l	1		
ptg001493l	18		
ptg001496l	1		
ptg001498l	19		
ptg001501l	9		
ptg001504l	73		
ptg001505l	1		
ptg001507l	3		
ptg001509l	71		
ptg001511l	121		
ptg001512l	19		
ptg001513l	58		
ptg001515l	2		
ptg001519l	116		
ptg001520l	46		
ptg001521l	62		
ptg001523l	2		
ptg001524l	2		
ptg001525l	86		
ptg001526l	4		
ptg001533l	2		
ptg001534l	5942		
ptg001537l	7165		
ptg001541l	4		
ptg001542l	3		
ptg001543l	16		
ptg001545l	22		
ptg001546l	25		
ptg001550l	60		
ptg001551l	66		
ptg001553l	1		
ptg001555l	1		
ptg001557l	2		
ptg001559l	13		
ptg001562l	22		
ptg001564l	1		
ptg001568l	377		
ptg001572l	11		
ptg001577l	16		
ptg001578l	7020		
ptg001580l	1		
ptg001581l	38		
ptg001583l	4		
ptg001584l	20		
ptg001585l	594		
ptg001588l	3		
ptg001589l	39		
ptg001590l	15		
ptg001591l	2		
ptg001593l	13922		
ptg001597l	56		
ptg001598l	4		
ptg001602l	68		
ptg001603l	258		
ptg001605l	6		
ptg001606l	1		
ptg001608l	6		
ptg001609l	885		
ptg001610l	2		
ptg001611l	32		
ptg001613l	14		
ptg001614l	87		
ptg001615l	17		
ptg001616l	2		
ptg001617l	42		
ptg001620l	1		
ptg001621l	18		
ptg001622l	63		
ptg001624l	16		
ptg001625l	86		
ptg001626l	21		
ptg001630l	4		
ptg001631l	2		
ptg001632l	2		
ptg001633l	46		
ptg001636l	2		
ptg001639l	59		
ptg001640l	85		
ptg001641l	45		
ptg001642l	16		
ptg001643l	2		
ptg001647l	74		
ptg001650l	14		
ptg001651l	14		
ptg001652l	2		
ptg001653l	2		
ptg001654l	26		
ptg001656l	60		
ptg001658l	24		
ptg001660l	308		
ptg001661l	12		
ptg001665l	55		
ptg001670l	11		
ptg001671l	1		
ptg001677l	18		
ptg001681l	1		
ptg001682l	11		
ptg001687l	4		
ptg001689l	20		
ptg001690l	7		
ptg001691l	4898		
ptg001692l	24		
ptg001696l	8		
ptg001697l	18		
ptg001699l	246		
ptg001701l	2		
ptg001702l	2		
ptg001705l	30		
ptg001709l	2		
ptg001710l	4		
ptg001711l	54		
ptg001712l	3		
ptg001719l	6		
ptg001720l	2		
ptg001721c	14		
ptg001723l	3		
ptg001724l	2		
ptg001726l	4		
ptg001730l	6		
ptg001732l	53		
ptg001736l	122		
ptg001738l	1		
ptg001744l	2		
ptg001746l	6		
ptg001747l	4		
ptg001749l	1		
ptg001750l	2		
ptg001754l	1		
ptg001755l	29		
ptg001757l	4		
ptg001758l	1		
ptg001760l	193		
ptg001761l	1		
ptg001773l	2		
ptg001775l	1		
ptg001780l	175		
ptg001781l	56		
ptg001782l	2		
ptg001785l	1		
ptg001787l	18		
ptg001788l	3		
ptg001789l	22		
ptg001792l	29		
ptg001793l	6		
ptg001794l	10		
ptg001795l	13414		
ptg001799l	12		
ptg001800l	4		
ptg001803l	7		
ptg001804l	735		
ptg001807l	15		
ptg001808l	4935		
ptg001811l	3		
ptg001813l	2		
ptg001816l	5009		
ptg001818l	1		
ptg001819l	2		
ptg001823l	13		
ptg001824l	1		
ptg001827l	87		
ptg001828l	1		
ptg001831l	2		
ptg001833l	64		
ptg001834l	2		
ptg001836l	1		
ptg001837l	4		
ptg001838l	33		
ptg001842l	2		
ptg001846l	2		
ptg001849l	26		
ptg001850l	7013		
ptg001852l	3		
ptg001857l	6		
ptg001864l	4302		
ptg001867l	2		
ptg001869l	756		
ptg001870l	10		
ptg001871l	5889		
ptg001873l	85		
ptg001875l	216		
ptg001876l	84		
ptg001878l	39		
ptg001882l	43		
ptg001883l	20		
