Ref	Count	SecCount	SupCount
CM044164.1_RagTag	3185989		
CM044165.1_RagTag	4499563		
CM044166.1_RagTag	11136504		
CM044167.1_RagTag	3547664		
CM044168.1_RagTag	7231378		
CM044169.1_RagTag	4367500		
CM044170.1_RagTag	3428942		
CM044171.1_RagTag	3788641		
CM044172.1_RagTag	2206272		
CM044173.1_RagTag	2561643		
CM044174.1_RagTag	1715600		
CM044175.1_RagTag	2626623		
CM044176.1_RagTag	5904769		
JANAFA010000015.1_RagTag	98		
JANAFA010000017.1_RagTag	66		
JANAFA010000019.1_RagTag	202		
JANAFA010000035.1_RagTag	1017		
JANAFA010000038.1_RagTag	1861		
JANAFA010000040.1_RagTag	340		
JANAFA010000049.1_RagTag	1141		
JANAFA010000051.1_RagTag	417		
JANAFA010000054.1_RagTag	103		
JANAFA010000058.1_RagTag	123721		
JANAFA010000062.1_RagTag	25		
JANAFA010000070.1_RagTag	272		
JANAFA010000080.1_RagTag	1215		
JANAFA010000083.1_RagTag	26		
JANAFA010000087.1_RagTag	27		
JANAFA010000089.1_RagTag	525		
JANAFA010000093.1_RagTag	10		
JANAFA010000094.1_RagTag	275		
JANAFA010000099.1_RagTag	14		
JANAFA010000102.1_RagTag	85		
JANAFA010000114.1_RagTag	179		
JANAFA010000123.1_RagTag	187		
JANAFA010000124.1_RagTag	5		
JANAFA010000129.1_RagTag	205		
JANAFA010000133.1_RagTag	242		
JANAFA010000136.1_RagTag	45		
JANAFA010000170.1_RagTag	11		
JANAFA010000177.1_RagTag	173		
JANAFA010000184.1_RagTag	117		
JANAFA010000191.1_RagTag	110		
JANAFA010000201.1_RagTag	278		
JANAFA010000210.1_RagTag	25		
JANAFA010000211.1_RagTag	149		
JANAFA010000216.1_RagTag	2189		
JANAFA010000222.1_RagTag	1335		
JANAFA010000224.1_RagTag	22		
JANAFA010000249.1_RagTag	17		
JANAFA010000279.1_RagTag	218375		
JANAFA010000295.1_RagTag	26		
JANAFA010000303.1_RagTag	106		
JANAFA010000327.1_RagTag	302		
JANAFA010000339.1_RagTag	113		
JANAFA010000346.1_RagTag	212623		
JANAFA010000348.1_RagTag	2		
JANAFA010000357.1_RagTag	315		
JANAFA010000449.1_RagTag	28		
JANAFA010000458.1_RagTag	11		
JANAFA010000474.1_RagTag	9		
ptg000005l	73429		
ptg000007l	110095		
ptg000011l	10444		
ptg000014l	5040		
ptg000015l	37		
ptg000026l	1542		
ptg000027l	18		
ptg000028l	597		
ptg000048l	1051218		
ptg000054l	1692		
ptg000062l	272776		
ptg000064l	1692		
ptg000067l	194		
ptg000072l	175002		
ptg000082l	11		
ptg000083l	308431		
ptg000086l	22		
ptg000092l	1498		
ptg000093l	21670		
ptg000098l	934		
ptg000103l	70003		
ptg000104l	35023		
ptg000108l	11769		
ptg000133l	35		
ptg000141l	271697		
ptg000146l	11		
ptg000151l	13884		
ptg000153l	4		
ptg000155l	408		
ptg000159l	613		
ptg000162l	23406		
ptg000164l	1388		
ptg000165l	34323		
ptg000166l	1158		
ptg000170l	59		
ptg000173l	7062		
ptg000175l	213054		
ptg000176l	1842		
ptg000182l	466		
ptg000184l	27099		
ptg000187l	1		
ptg000197l	29318		
ptg000199l	12022		
ptg000200l	1087		
ptg000202l	2817		
ptg000203l	5		
ptg000206l	1		
ptg000210l	1903		
ptg000212l	127361		
ptg000215l	371914		
ptg000216l	18		
ptg000219l	4		
ptg000220l	36484		
ptg000233l	5		
ptg000235l	4		
ptg000241l	5828		
ptg000248l	8711		
ptg000250l	8758		
ptg000253l	326		
ptg000255l	313		
ptg000256l	48		
ptg000259l	14		
ptg000260l	426		
ptg000262l	3683		
ptg000266l	78071		
ptg000270l	5		
ptg000273l	6		
ptg000284l	10		
ptg000286l	148		
ptg000289l	179		
ptg000290l	149694		
ptg000291l	9155		
ptg000292l	20007		
ptg000301l	33399		
ptg000305l	5102		
ptg000317l	132227		
ptg000319l	8050		
ptg000320l	8		
ptg000323l	26301		
ptg000324l	2831		
ptg000325l	9208		
ptg000330l	8		
ptg000340l	24048		
ptg000350l	1358		
ptg000351l	72		
ptg000355l	4		
ptg000357l	90		
ptg000358l	19		
ptg000361l	112		
ptg000365l	516		
ptg000367l	33		
ptg000371l	7		
ptg000372l	6222		
ptg000374l	2638		
ptg000378l	1517		
ptg000380l	24		
ptg000386l	8064		
ptg000389l	2		
ptg000390l	29		
ptg000393l	154		
ptg000394l	23170		
ptg000398l	5274		
ptg000401l	22		
ptg000403l	34444		
ptg000406l	8600		
