Ref	Count	SecCount	SupCount
CM044164.1_RagTag	1444972		
CM044165.1_RagTag	1581683		
CM044166.1_RagTag	2936740		
CM044167.1_RagTag	2180244		
CM044168.1_RagTag	3116537		
CM044169.1_RagTag	1626553		
CM044170.1_RagTag	1698725		
CM044171.1_RagTag	1724878		
CM044172.1_RagTag	1077969		
CM044173.1_RagTag	1345067		
CM044174.1_RagTag	1026541		
CM044175.1_RagTag	1908000		
CM044176.1_RagTag	2224174		
JANAFA010000015.1_RagTag	689		
JANAFA010000017.1_RagTag	399		
JANAFA010000019.1_RagTag	966		
JANAFA010000035.1_RagTag	3475		
JANAFA010000038.1_RagTag	6496		
JANAFA010000040.1_RagTag	3018		
JANAFA010000049.1_RagTag	14544		
JANAFA010000051.1_RagTag	5478		
JANAFA010000054.1_RagTag	2304		
JANAFA010000058.1_RagTag	29947		
JANAFA010000062.1_RagTag	556		
JANAFA010000070.1_RagTag	826		
JANAFA010000080.1_RagTag	1384		
JANAFA010000083.1_RagTag	116		
JANAFA010000087.1_RagTag	218		
JANAFA010000089.1_RagTag	2062		
JANAFA010000093.1_RagTag	212		
JANAFA010000094.1_RagTag	666		
JANAFA010000099.1_RagTag	254		
JANAFA010000102.1_RagTag	564		
JANAFA010000114.1_RagTag	1046		
JANAFA010000123.1_RagTag	460		
JANAFA010000124.1_RagTag	57		
JANAFA010000129.1_RagTag	960		
JANAFA010000133.1_RagTag	599		
JANAFA010000136.1_RagTag	377		
JANAFA010000170.1_RagTag	64		
JANAFA010000177.1_RagTag	292		
JANAFA010000184.1_RagTag	2103		
JANAFA010000191.1_RagTag	712		
JANAFA010000201.1_RagTag	1281		
JANAFA010000210.1_RagTag	297		
JANAFA010000211.1_RagTag	1147		
JANAFA010000216.1_RagTag	1587		
JANAFA010000222.1_RagTag	3394		
JANAFA010000224.1_RagTag	508		
JANAFA010000249.1_RagTag	183		
JANAFA010000279.1_RagTag	140074		
JANAFA010000295.1_RagTag	192		
JANAFA010000303.1_RagTag	478		
JANAFA010000327.1_RagTag	738		
JANAFA010000339.1_RagTag	480		
JANAFA010000346.1_RagTag	133574		
JANAFA010000348.1_RagTag	29		
JANAFA010000357.1_RagTag	829		
JANAFA010000449.1_RagTag	595		
JANAFA010000458.1_RagTag	99		
JANAFA010000474.1_RagTag	405		
ptg000005l	50265		
ptg000007l	53269		
ptg000011l	37537		
ptg000014l	15393		
ptg000015l	477		
ptg000026l	5271		
ptg000027l	208		
ptg000028l	4305		
ptg000048l	150003		
ptg000054l	7032		
ptg000062l	113384		
ptg000064l	6012		
ptg000067l	1269		
ptg000072l	35437		
ptg000082l	208		
ptg000083l	102655		
ptg000086l	356		
ptg000092l	7993		
ptg000093l	68573		
ptg000098l	2657		
