#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
[Candida] auris,Eukaryota;Fungi;Ascomycetes,LOM,SAMN11570041,PRJNA540998,GCA_005234155.1, Chromosome,12.2933,45.1997,chromosome 1:CM016497.1; chromosome 2:CM016498.1; chromosome 3:CM016499.1; chromosome 4:CM016500.1; chromosome 5:CM016501.1; chromosome 6:CM016502.1; chromosome 7:CM016503.1,SZYF01,9,0,2019-05-08T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,B1,SAMN08026575,PRJNA418342,GCA_003401925.1, Chromosome,135.977,42.0569,chromosome X:CM010583.1; chromosome 2L:CM010584.1; chromosome 2R:CM010585.1; chromosome 3L:CM010586.1; chromosome 3R:CM010587.1; chromosome 4:CM010588.1; mitochondrion MT:CM010589.1,PGRR01,39,0,2018-08-16T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,S288C-SK1-cross,SAMN17717980,PRJNA698424,GCA_021172235.1, Chromosome,12.3598,38.2483,chromosome I:CP089117.1; chromosome II:CP089118.1; chromosome III:CP089119.1; chromosome IV:CP089120.1; chromosome V:CP089121.1; chromosome VI:CP089122.1; chromosome VII:CP089123.1; chromosome VIII:CP089124.1; chromosome IX:CP089125.1; chromosome X:CP089126.1; chromosome XI:CP089127.1; chromosome XII:CP089128.1; chromosome XIII:CP089129.1; chromosome XIV:CP089130.1; chromosome XV:CP089131.1; chromosome XVI:CP089132.1; mitochondrion MT:CP089133.1,,17,0,2021-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/172/235/GCA_021172235.1_ASM2117223v1,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA110648777,PRJEB55353,GCA_946404075.1, Chromosome,136.875,36.3523,chromosome 1:OX291455.1; chromosome 2:OX291456.1; chromosome 3:OX291457.1; chromosome 4:OX291458.1; chromosome 5:OX291459.1,,5,0,2023-02-09T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA110648811,PRJEB55353,GCA_946415445.1, Chromosome,138.715,36.4775,chromosome 1:OX291800.1; chromosome 2:OX291801.1; chromosome 3:OX291802.1; chromosome 4:OX291803.1; chromosome 5:OX291804.1,,5,0,2023-02-09T00:00:00Z,,
Zea mays,Eukaryota;Plants;Land Plants,,SAMN17901047,PRJNA701652,GCA_019095995.1, Chromosome,2153.79,46.9079,chromosome 1:CM032566.1; chromosome 2:CM032567.1; chromosome 3:CM032568.1; chromosome 4:CM032569.1; chromosome 5:CM032570.1; chromosome 6:CM032571.1; chromosome 7:CM032572.1; chromosome 8:CM032573.1; chromosome 9:CM032574.1; chromosome 10:CM032575.1,JAGTWF01,1547,0,2021-07-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/095/995/GCA_019095995.1_Zm_PHJ40_v1,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,LL2013_054 MATalpha ho::natMX4 ade2::hphNT1,SAMN27647776,PRJNA828354,GCA_030034815.1, Chromosome,11.7308,38.0482,chromosome I:CP125397.1; chromosome II:CP125398.1; chromosome III:CP125399.1; chromosome IV:CP125400.1; chromosome V:CP125401.1; chromosome VI:CP125402.1; chromosome VII:CP125403.1; chromosome VIII:CP125404.1; chromosome IX:CP125405.1; chromosome X:CP125406.1; chromosome XI:CP125407.1; chromosome XII:CP125408.1; chromosome XIII:CP125409.1; chromosome XIV:CP125410.1; chromosome XV:CP125411.1; chromosome XVI:CP125412.1; mitochondrion MT:CP125413.1,,17,0,2023-05-18T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,A3,SAMN08026569,PRJNA418342,GCA_003401795.1, Chromosome,133.342,42.0825,chromosome X:CM010548.1; chromosome 2L:CM010549.1; chromosome 2R:CM010550.1; chromosome 3L:CM010551.1; chromosome 3R:CM010552.1; chromosome 4:CM010553.1; mitochondrion MT:CM010554.1,PGRL01,44,0,2018-08-16T00:00:00Z,,
[Candida] auris,Eukaryota;Fungi;Ascomycetes,L1537/2020,SAMN18028984,PRJNA704033,GCA_020809265.1, Chromosome,12.6875,45.2317,chromosome I:CM036988.1; chromosome II:CM036989.1; chromosome III:CM036990.1; chromosome IV:CM036991.1; chromosome V:CM036992.1; chromosome VI:CM036993.1; chromosome VII:CM036994.1; mitochondrion MT:CM036996.1,JAFIRO01,15,0,2021-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/809/265/GCA_020809265.1_ASM2080926v1,
Drosophila melanogaster,Eukaryota;Animals;Insects,A6,SAMN08026572,PRJNA418342,GCA_003401885.1, Chromosome,133.227,42.1647,chromosome X:CM010569.1; chromosome 2L:CM010570.1; chromosome 2R:CM010571.1; chromosome 3L:CM010572.1; chromosome 3R:CM010573.1; chromosome 4:CM010574.1; mitochondrion MT:CM010575.1,PGRO01,29,0,2018-08-16T00:00:00Z,,
